M_ini      Z_ini  OmOc_ini  M        logL     logTe_c  logTe_nc      MBol        MV       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC    r_pol   oblat   g_pol    Omega_S      v_eq   v_crit1   v_crit2  Om/Om_cr lg(Md) lg(Md_M) Ga_Ed         H1        He4        C12        C13        N14        O16        O17        O18       Ne20       Ne22       Al26
Isochrone for log(time) = 6.00000
 11.063  0.000400  0.000   11.063    3.9258    4.5102    4.5102   -5.0646   -1.9649   -1.0982   -0.3059   -0.1334   -0.3877   -0.2018   -0.0321   -0.8540   -0.0650   -0.2706    0.3322         1   -3.0997     2.92  1.0000   4.550  0.000E+00      0.00      0.00      0.00  0.0000  -9.538   0.000   0.021  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 12.047  0.000400  0.000   12.046    4.0372    4.5257    4.5257   -5.3429   -2.1517   -1.1141   -0.3103   -0.1355   -0.3943   -0.2056   -0.0328   -0.8699   -0.0666   -0.2749    0.3378         1   -3.1912     3.09  1.0000   4.538  0.000E+00      0.00      0.00      0.00  0.0000  -9.222   0.000   0.024  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 13.117  0.000400  0.000   13.116    4.1438    4.5403    4.5403   -5.6096   -2.3261   -1.1275   -0.3146   -0.1376   -0.4009   -0.2091   -0.0334   -0.8842   -0.0682   -0.2792    0.3434         1   -3.2835     3.27  1.0000   4.526  0.000E+00      0.00      0.00      0.00  0.0000  -9.018   0.000   0.029  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 14.283  0.000400  0.000   14.281    4.2507    4.5549    4.5549   -5.8769   -2.4951   -1.1392   -0.3192   -0.1397   -0.4078   -0.2125   -0.0339   -0.8979   -0.0700   -0.2838    0.3493         1   -3.3818     3.46  1.0000   4.515  0.000E+00      0.00      0.00      0.00  0.0000  -8.815   0.000   0.034  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 15.552  0.000400  0.000   15.550    4.3556    4.5692    4.5692   -6.1389   -2.6607   -1.1495   -0.3236   -0.1415   -0.4137   -0.2159   -0.0345   -0.9122   -0.0715   -0.2876    0.3542         1   -3.4782     3.65  1.0000   4.504  0.000E+00      0.00      0.00      0.00  0.0000  -8.703   0.000   0.040  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 16.934  0.000400  0.000   16.932    4.4576    4.5829    4.5829   -6.3939   -2.8205   -1.1581   -0.3278   -0.1431   -0.4188   -0.2194   -0.0351   -0.9263   -0.0728   -0.2911    0.3586         1   -3.5734     3.86  1.0000   4.494  0.000E+00      0.00      0.00      0.00  0.0000  -8.715   0.000   0.047  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 18.439  0.000400  0.000   18.437    4.5598    4.5966    4.5966   -6.6495   -2.9782   -1.1654   -0.3321   -0.1446   -0.4237   -0.2228   -0.0356   -0.9406   -0.0741   -0.2943    0.3627         1   -3.6713     4.07  1.0000   4.483  0.000E+00      0.00      0.00      0.00  0.0000  -8.725   0.000   0.054  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 20.078  0.000400  0.000   20.076    4.6621    4.6102    4.6102   -6.9052   -3.1341   -1.1712   -0.3364   -0.1461   -0.4283   -0.2263   -0.0362   -0.9550   -0.0753   -0.2973    0.3665         1   -3.7711     4.30  1.0000   4.473  0.000E+00      0.00      0.00      0.00  0.0000  -8.725   0.000   0.062  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 21.862  0.000400  0.000   21.859    4.7582    4.6227    4.6227   -7.1456   -3.2814   -1.1754   -0.3404   -0.1474   -0.4322   -0.2295   -0.0367   -0.9683   -0.0764   -0.2999    0.3698         1   -3.8642     4.54  1.0000   4.463  0.000E+00      0.00      0.00      0.00  0.0000  -8.558   0.000   0.072  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 23.805  0.000400  0.000   23.801    4.8546    4.6352    4.6352   -7.3864   -3.4279   -1.1785   -0.3444   -0.1485   -0.4357   -0.2327   -0.0373   -0.9817   -0.0774   -0.3023    0.3728         1   -3.9585     4.79  1.0000   4.454  0.000E+00      0.00      0.00      0.00  0.0000  -8.390   0.000   0.082  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 25.920  0.000400  0.000   25.914    4.9486    4.6471    4.6471   -7.6214   -3.5715   -1.1803   -0.3483   -0.1496   -0.4388   -0.2358   -0.0378   -0.9947   -0.0782   -0.3043    0.3753         1   -4.0499     5.05  1.0000   4.444  0.000E+00      0.00      0.00      0.00  0.0000  -8.231   0.000   0.093  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
